Okay, keep it straight.	Tốt, giữ cho nó đi thẳng.
You are not gonna do that.	Em sẽ không làm vậy.
The question I get most frequently is: How do you make something go viral?	Câu hỏi tôi thường xuyên nhận được là: Làm sao bạn làm được thứ được lan truyền đến vậy?
I love the cars, they're dope.	Tôi yêu những chiếc xe, chúng thật kích thích.
CLOSE to a million people were baptized by Jehovah’s Witnesses in the last three years.	NHÂN CHỨNG Giê-hô-va đã làm báp têm cho gần một triệu người trong ba năm qua.
What in the world are you going to do there?"	Bạn có thể làm được gì ở đó cơ chứ?"
One compliment, and now you're coasting.	Một lời khen, và bây giờ cậu đang xuống dốc.
You look like trash, all marked up like that.	Con y như đồ rác rưởi, xăm đầy mình như vậy.
What happened?	Chuyện gì đã xảy ra vậy?
For example, let’s say the currency used for your manager account is US dollars (USD), but one of your managed accounts uses the British pound (GBP).	Ví dụ: giả sử đơn vị tiền tệ được sử dụng cho tài khoản người quản lý của bạn là đô la Mỹ (USD), nhưng một trong những tài khoản được quản lý của bạn sử dụng bảng Anh (GBP).
+ When Saul saw any strong or courageous man, he would recruit him into his service.	+ Khi Sau-lơ thấy bất kỳ ai mạnh mẽ hay can đảm, ông liền chiêu mộ để phục vụ mình.
Over the centuries many wise men and women—through logic, reason, scientific inquiry, and, yes, through inspiration—have discovered truth.	Qua nhiều thế kỷ, nhiều người nam và người nữ khôn ngoan---qua tính hợp lý, lý luận, việc tìm hiểu bằng khoa học, và vâng, cả sự soi dẫn nữa---đã khám phá ra lẽ thật.
That same year, special pioneers came from Portugal.	Cùng năm ấy, các tiên phong đặc biệt ở Bồ Đào Nha bắt đầu đến giúp.
90 And he who feeds you, or clothes you, or gives you money, shall in nowise alose his reward.	90 Và kẻ nào cho các ngươi thức ăn, hay cho các ngươi quần áo mặc, hoặc cho các ngươi tiền, thì sẽ chẳng vì lý do gì bị amất phần thưởng của mình.
(Isaiah 30:21; Matthew 24:45-47) Gilead School helped the graduates to grow in appreciation for that slave class.	(Ê-sai 30:21; Ma-thi-ơ 24:45-47) Trường Ga-la-át giúp các học viên gia tăng lòng biết ơn đối với lớp “đầy-tớ”.
A tree that can bend with the wind is more likely to survive a storm.	Một cái cây có thể cong lại trước cơn gió thì dễ sống sót hơn khi gặp bão.
I think he had some pretty good leads, which could have blown his career wide open... it was great.	Tôi nghĩ anh ấy có vài đầu mối khá tốt, mà có thể làm nghề nghiệp của anh ấy phát triển hơn... nó thật tuyệt.
Touch it!	Để tay vào đi.
And on the y-axis is the loudness of average ambient noise in the deep ocean by frequency.	Trên trục tung là độ to của tiếng ồn trung bình xung quanh các đại dương sâu đo bởi tần số.
Jahre Nebukadnezars II” (An Astronomical Observer’s Text of the 37th Year Nebuchadnezzar II), by Paul V.	Jahre Nebukadnezars II” (An Astronomical Observer’s Text of the 37th Year Nebuchadnezzar II), tác giả Paul V.
How will his mother discipline him?	Người mẹ sẽ sửa dạy con như thế nào?
I can't leave things as they were.	Càng nghĩ càng thấy không thỏa, ta nhất định phải.
(Psalm 25:4) Personal study of the Bible and of the Society’s publications can help you become better acquainted with Jehovah.	Việc học hỏi Kinh-thánh cá nhân và các ấn phẩm của Hội có thể giúp bạn biết rõ Đức Giê-hô-va hơn.
Using sticks isn't the art of combat!	Dùng gậy không phải là nghệ thuật chiến đấu.
An Inclusive & Sustainable Globalization: A Multilateral Approach	Một quá trình Toàn cầu hóa Bền vững Cho mọi người: Cách tiếp cận đa phương
I'll go get help!	Em sẽ tìm giúp đỡ!
They were frustrated, and they had achieved much less than what they had hoped for.	Họ chán nản, và họ không đạt được những gì hi vọng.
Tell Clyde I want my share.	Nói với Clyde em muốn phần của mình.
