Chỉ một.        Just one.
Với cái ghế lăn này?        To the wheelchair?
Chính xác.        That's right.
2 Để xây dựng angôi nhà của ta, và để đặt nền móng của Si Ôn, và để dùng trong Chức Tư Tế, và để thanh toán các nợ nần của Chủ Tịch Đoàn Giáo Hội của ta.        2 For the building of mine ahouse, and for the laying of the foundation of Zion and for the priesthood, and for the debts of the Presidency of my Church.
Thật hoàn hảo.        So perfect.
13, 14. (a) Đức Giê-hô-va thể hiện tính phải lẽ như thế nào?        13, 14. (a) How does Jehovah demonstrate reasonableness?
Giống như một hạt với khối lượng, bởi vì bạn kết nối, tương tác, với trường tuyết Higgs.        That's like a particle with mass, because you are connecting, interacting, with that Higgs snow field.
Như vậy, Giê-su và các sứ-đồ dạy rằng ngài là “Con của Đức Chúa Trời”, nhưng sau này các nhà thờ bày đặt ra ý-niệm về “Đức Chúa (Trời) Con”.        Thus, Jesus and his apostles taught that he was “the Son of God,” but it was later churchmen who developed the idea of “God the Son.”
7, 8. a) Có bằng chứng nào cho thấy rằng dân sự Đức Chúa Trời đã “giăng dây cho dài”?        7, 8. (a) What evidence is there that God’s people have ‘lengthened their tent cords’?
Đây là một phần của công việc.        It's part my job.
Nhưng giờ chúng ta đang nói về lễ cưới của cậu đó, Noc.        But this is your wedding we're talking about, Noc.
• Làm thế nào chúng ta có thể biểu lộ lòng quan tâm nhân từ đối với các anh chị cao tuổi?        • How can we show tender regard for aging fellow worshippers?
18 Sau khi nói bài giảng, bạn nên chăm chú nghe lời khuyên bảo.        18 After you deliver your talk, listen carefully to the oral counsel offered.
Con tự hỏi con có gì từ cha mẹ nữa.        I wonder what else of yours I have.
Chun Song Yi cũng là người.        Cheon Song Yi is a human being after all.
Vẫn còn cơ hội để không chỉ mang đàn cá trở lại mà còn đánh bắt được nhiều cá hơn nuôi sống nhiều người hơn so với hiện tại.        We still have an opportunity to not only bring the fish back but to actually get more fish that can feed more people than we currently are now.
Nếu người của mày thông minh, thì họ sẽ tự xử mày.        If your men are smart, they'll take care of you themselves.
À nè, anh hỏi em một chút được không?        So, hey uh, can I ask you something?
Chúng ta đang vui vẻ mà.        We're having a good time.
Số mệnh của người Triều Tiên là không phải đau khổ dưới sự áp bức nô lệ, mà là phát triển trong vinh quang của tự do.        The destiny of the Korean people is not to suffer in the bondage of oppression, but to thrive in the glory of freedom.
Ông ấy đã được nghe một câu chuyện hoàn toàn khác.        He heard a very different story.
Tuy nhiên, việc làm như thế khiến một người có thể mang nợ máu trong trường hợp đòi hỏi phải dùng vũ khí.        However, armed employment exposes one to the possibility of becoming bloodguilty if called upon to use one’s weapon.
Anh ký vào áo tôi, được không?        Sign my shirt, would you?
Họ chán nản, và họ không đạt được những gì hi vọng.        They were frustrated, and they had achieved much less than what they had hoped for.
Một điểm chung của chúng ta là nhu cầu thể hiện bản thân mãnh liêt.        And I think one thing we have in common is a very deep need to express ourselves.
13, 14. (a) Đức Giê-hô-va thể hiện tính phải lẽ như thế nào?        13, 14. (a) How does Jehovah demonstrate reasonableness?
Chúng chỉ là những biểu tượng, và bạn click vào chúng.        They're just icons; you click on them.
Có lẽ tớ nên làm thế thật.        Maybe I should.
Các chị em cũng sẽ mỉm cười khi nhớ tới câu này: “Vua sẽ trả lời rằng: Quả thật, ta nói cùng các ngươi, hễ các ngươi đã làm việc đó cho một người trong những người rất hèn mọn nầy của anh em ta, ấy là đã làm cho chính mình ta vậy” (Ma Thi Ơ 25:40).        You will also smile as you remember this verse: “And the King shall answer and say unto them, Verily I say unto you, Inasmuch as ye have done it unto one of the least of these my brethren, ye have done it unto me” (Matthew 25:40).
Chỉ một.        Just one.
Con nghĩ là ở bên cạnh anh ấy thì con sẽ rất vui.        I think I'm going to be happy with him.
Không được nói chuyện với nhau        No one here is allowed to talk to each other
Và quý nhất là 1 khoảnh khắc đúng lúc, khi bạn nhìn xung quanh, lấy được 1 tầm nhìn X-quang và chụp 1 bức bằng camera X-quang.        And what's good about this, I think, is that it's like a moment in time, like you've turned around, you've got X-ray vision and you've taken a picture with the X-ray camera.
Con y như đồ rác rưởi, xăm đầy mình như vậy.        You look like trash, all marked up like that.
Họ chán nản, và họ không đạt được những gì hi vọng.        They were frustrated, and they had achieved much less than what they had hoped for.
Khi tài khoản Google Ads và Salesforce được liên kết, bạn cần chọn những sự kiện quan trọng, trạng thái khách hàng tiềm năng và giai đoạn cơ hội, để theo dõi dữ liệu chuyển đổi.        Once your Google Ads and Salesforce accounts are linked, you need to choose which Salesforce milestones – lead statuses and opportunity stages – to monitor for conversions.
Chính xác.        That's right.
Như vậy, Giê-su và các sứ-đồ dạy rằng ngài là “Con của Đức Chúa Trời”, nhưng sau này các nhà thờ bày đặt ra ý-niệm về “Đức Chúa (Trời) Con”.        Thus, Jesus and his apostles taught that he was “the Son of God,” but it was later churchmen who developed the idea of “God the Son.”
• Làm thế nào chúng ta có thể biểu lộ lòng quan tâm nhân từ đối với các anh chị cao tuổi?        • How can we show tender regard for aging fellow worshippers?
Thật hoàn hảo.        So perfect.
18 Sau khi nói bài giảng, bạn nên chăm chú nghe lời khuyên bảo.        18 After you deliver your talk, listen carefully to the oral counsel offered.
Giống như một hạt với khối lượng, bởi vì bạn kết nối, tương tác, với trường tuyết Higgs.        That's like a particle with mass, because you are connecting, interacting, with that Higgs snow field.
Số mệnh của người Triều Tiên là không phải đau khổ dưới sự áp bức nô lệ, mà là phát triển trong vinh quang của tự do.        The destiny of the Korean people is not to suffer in the bondage of oppression, but to thrive in the glory of freedom.
Anh Swingle nói: “Đến đây và bỏ thời giờ ra nghe giảng là một kinh nghiệm làm bạn khiêm nhường. Khi rời khỏi nơi đây, bạn được trang bị tốt hơn nhiều để đề cao Đức Giê-hô-va”.        “It is a humbling experience to come here and spend time listening to instruction,” Brother Swingle said, adding: “You go away from here much better equipped to magnify Jehovah.”
Đức tin nơi ai?        Faith in what?
Trong hai phút vừa qua thì không.        In the last two minutes, no.
Họ đang bám đít tớ.        They're on my ass, dog.
Nếu anh không bám lấy mẹ anh, anh đã bám lấy em.        If you weren't hanging on to your mother, you were hanging on to me.
Anh ta leo lên một cái cây nhỏ kế cây Redwood khổng lồ này, và anh ta nhảy qua, dùng tay bám vào một nhành và treo lủng lẳng, như bám thanh xà ngang.        He climbed up a small tree next to this giant Redwood, and then he leaped through space and grabbed a branch with his hands, and ended up hanging, like catching a bar of a trapeze.
KHẢ NĂNG BÁM CHẶT: Bàn tay của khỉ lùn tarsier được thiết kế vừa khít để bám chặt những cành nhỏ.        GRIP: The tarsier’s hands are tailor-made for grasping thin branches.
Miệng của chúng ta đầy vi khuẩn , bám vào dịch nhầy và các mẩu nhỏ thức ăn và tạo thành " mảng bám " dính trên răng .        Our mouths are full of bacteria , which stick to mucus and bits of food and form a sticky " plaque " on our teeth .
Ngài phải đét đít cổ cho dữ, và sau khi đét đít, ngài muốn làm gì cổ tùy ý.        You must spank her, and after you've spanked her, deal with her as you like.
Bám chắc, bám chắc.        Hold on, friend.
Hay là bám theo đít như mấy con đĩ?        I'm gonna chase after you like some bitch?
Bám sát, bám sát        Stay on him, stay on him.
Trong đại hội trung ương tháng Mười năm ngoái, tôi đã mời các thính giả tuân theo lời khuyên của Brigham Young hãy ở lại trên Con Tàu Si Ôn Cũ Kỹ, tức là Giáo Hội Các Thánh Hữu Ngày Sau của Chúa Giê Su Ky Tô, và bám chặt bằng cả hai tay.1 Kể từ lúc đó, tôi rất vui được biết rằng một số người trong gia đình tôi và những người khác có lắng nghe và đã hỏi tôi: “Chúng ta có thể bám chặt lấy cái gì trong con tàu cũ kỹ đó?”        In last October’s general conference, I invited listeners to follow Brigham Young’s counsel to stay on the Old Ship Zion, which is The Church of Jesus Christ of Latter-day Saints, and to hold on with both hands.1 Since then, I am happy to know that some of my family and others were listening and have asked me this question: “What’s in the Old Ship Zion that we should hang on to?”
Tôi đã bám đít ông ấy từ ngày đầu tới Washington, cố gắng khiến ông ấy để ý mình.        God knows I've been kissing his ass since the day I moved to Washington, trying to get him to take notice of me.
Sao anh có thể bám đít Large Bills được nhỉ?        Why were you even tailing Large Bills?
Thật vậy, lòng tôn kính Đức Giê-hô-va dẫn chúng ta đến việc vâng lời, phụng sự và bám sát theo Ngài như con trẻ bám sát theo cha mình là người mà chúng tín nhiệm và tin cậy tuyệt đối.—Thi-thiên 63:8; Ê-sai 41:13.        Yes, godly fear leads us to obey Jehovah, to serve him, and to cling to him, just as a young child may literally cling to his father in whom he has implicit trust and confidence. —Psalm 63:8; Isaiah 41:13.
Tôi vẫn còn nhớ cảm giác cứng cỏi trong khi đu người ở đó mà không có thứ gì để bám vào cả—không có bờ mép, không có chỏm, không có gì cả để bám vào hoặc nắm lấy.        I can still remember the gritty sensation of hanging there with nothing to hold on to—no lip, no ridge, nothing to grab or grasp.
Không thể bám giữ lâu hơn nữa, nên John đã quyết định rằng lựa chọn duy nhất là cố gắng nhảy thẳng đứng lên với một nỗ lực để bám lấy đỉnh của mỏm đá nhô ra.        Unable to hold on much longer, John decided his only option was to try to jump vertically in an effort to grab the top of the overhanging ledge.
Bám chắc, ông Calvelli, bám chắc.        Hang on, Mr. Calvelli, hang on there.
Lip vẫn đang bám đít Karen.        You know, Lip is still up Karen's ass.
Đừng có bám đít tôi nữa được không?        Will you all stop busting my balls?
